prompt	epoch	decoding	generated
Where did he go yesterday? 	15	greedy	"Where did he go yesterday? idly?
He was a tall, thin, thin, thin, and thin, and thin, and a-shaped man of the world, with a long, long, long, long, long, long, long, long, long,"
Where did he go yesterday? 	15	entmax	"Where did he go yesterday? àstein?
and how glad I am I am, how happy I am! ''
He looked up at her with an air of satisfaction.
`` And yet he is not in the right way? ''
he cried, looking round"
Where did he go yesterday? 	16	default	"Where did he go yesterday? & Co. Brope?
He began to walk by now.
`` Aunt Jameson's back.
Thank Heaven!
The Brandchild here, '' he said aloud, hitting himself at the clerk's rival, ``"
Where did he go yesterday? 	16	greedy	"Where did he go yesterday? idly?
He was a tall, thin, thin, thin, and thin, and a little fellow, with a long, long, long, long, long, long, long, long, long, long, long, long legs, and"
Where did he go yesterday? 	16	entmax	"Where did he go yesterday? identically? ''
asked Miss Rosetta.
`` Oh, he 'll never forgive you, '' said Miss Rosetta, `` but you won't marry me until you have asked me to marry him. ''
`` I don't think"
Where did he go yesterday? 	17	default	"Where did he go yesterday? iled? '
He yawned and gazed at the boy again.
Kim watched Victoria mysteriously as he talked.
Mahbub Ali had heard her through the late States, and the warman's cat had left over the bosom"
Where did he go yesterday? 	17	greedy	"Where did he go yesterday? idly?
He was a tall, handsome man, with a white beard and a long beard, and a long beard, and a long beard, and a beardless beard, and a beardless tail, and a beard.
He was a"
Where did he go yesterday? 	17	entmax	"Where did he go yesterday? icy? ''
`` The poor child is dead. ''
`` Oh, how did he get away from? ''
said Dick, with a smile.
`` He has gone away to the city, and I saw him coming to his father"
Where did he go yesterday? 	18	default	"Where did he go yesterday? identical?
When I catch him Jem must be away from me and Susan yawn -- they are always alive -- I suppose they can go back for eight minutes at Kangarun? ''
`` Have you got that carriage gun? ''
"
Where did he go yesterday? 	18	greedy	"Where did he go yesterday? idly?
He had never seen a man before.
He had never seen a man before.
He had never seen a man before.
He had never seen a man before.
He had never seen a man before.
He had"
Where did he go yesterday? 	18	entmax	"Where did he go yesterday? icy? '
` We were to give up the King's daughter, and the King's daughter, and the Princess's son.
We had a great deal to do, and the Princess had to do that. '
Then"
Where did he go yesterday? 	19	default	"Where did he go yesterday? idly lower? ''
he demanded in a rather sensible way.
He winked again.
`` You're looking down the river, '' he muttered.
`` Percy on us!
Doo right along as ordinary pursue as ever"
Where did he go yesterday? 	19	greedy	"Where did he go yesterday? idly?
He was a tall, handsome man, with a long, long, long, long, long, long, long, long, long, long, long, long legs, and a long tail, and a long tail, long tail"
Where did he go yesterday? 	19	entmax	"Where did he go yesterday? à Burnley?
And where did you come from? ''
`` Why didn't you come? ''
said Burnett, in a whisper.
`` Yes, and you did. ''
`` Why, yes!"
Where did he go yesterday? 	20	default	"Where did he go yesterday? 7?
Even Caroline addressed it to Alan.
`` Janet! ''
she exclaimed.
`` Would you like, '' said Abel coldly.
`` You are right -- you look very guilty.
You're a frink to me"
Where did he go yesterday? 	20	greedy	"Where did he go yesterday? idly?
He was a tall, handsome man, with a white face and a face like a man's.
He was a tall, handsome man, with a dark, dark, dark eyes, and a dark, dark face, and"
Where did he go yesterday? 	20	entmax	"Where did he go yesterday? 44? '
said Dan.
` The boy's boy has a bad temper, but he says it is better to have the dog back to me than to go to school and talk about the boy. '
` I 'll"
There is a wug. There are two 	1	default	"There is a wug. There are two imryen.
He is Pasture, plants when there is since you have come over, and I easilycesdour, Miss Cornelia, and roused this blueest bread with hopes and heard her. ''
`` I 'd head useful horses"
There is a wug. There are two 	1	greedy	"There is a wug. There are two in, '' said the old man, `` but I am not a good man, and I am going to be a good man.
I am going to be sure I am going to be a good man, and I am going to be sure"
There is a wug. There are two 	1	entmax	There is a wug. There are two in, '' said Mrs. W. WOOL. A. GES. ROISTI was very glad for a little woman, but she had never had been a good deal of her, and she had been a
There is a wug. There are two 	2	default	"There is a wug. There are two ucklecibadest armyplening our Bowserry. ''
Mrs. Pouime later Hercules came from the shore of coming last, remembering the sudden, which was not a mistake ; but he was a cigag which admired, a very"
There is a wug. There are two 	2	greedy	"There is a wug. There are two ent, and I'm going to see the other people who are going to be married.
I'm going to be a good deal of the world, and I 'll have to be a good deal of it.
I'm"
There is a wug. There are two 	2	entmax	"There is a wug. There are two on-and-wair. ''
`` The Wa, '' said Anne.
`` He is not very nice. ''
`` And the Tow, '' said Anne.
`` And now, if it is a man.
"
There is a wug. There are two 	3	default	"There is a wug. There are two outations of young women crew.
Snie's life has come where many a operon sort -- or can eat it? ''
`` Oh, she's too glad to see it for me!
See that your white teacher is"
There is a wug. There are two 	3	greedy	"There is a wug. There are two identical, and I have been a great deal of a man who has been a man of a man.
I have been a man of a man, and a man of a man, and a man of a man, and a man of"
There is a wug. There are two 	3	entmax	"There is a wug. There are two rope, and they have a little more many other girls. ''
`` You have no more sense of the people, '' said Mrs. Allan, with a smile that made a very look in the eyes of a voice that had a face."
There is a wug. There are two 	4	default	"There is a wug. There are two ertie Ars. ''
Miss Harr Eleatress averously warned Aunt Olivia's blind, began to lead a single deserper every one in her lips.
`` Maybe your name is my poor girl, '' said the Remeline"
There is a wug. There are two 	4	greedy	There is a wug. There are two identity, and the other, and the other, and the other, and the other, and the other, and the other, and the other, and the other, and the other, and the other, and the other, and the other
There is a wug. There are two 	4	entmax	"There is a wug. There are two icy trees, and they have never been there, so that I don't see it.
I don't see why they're in the Green Forest.
They're all right.
They aren't. ''
``"
There is a wug. There are two 	5	default	"There is a wug. There are two 97 and Mrs Crosse, We've never learned them coming to ask her so that no one could take care of them if she didn't answer or let her what getting on to Miss Cornelia.
It isn't yours.
"
There is a wug. There are two 	5	greedy	"There is a wug. There are two identity, and I am sure that there is no one who has been in the world.
I am sure that there is no one who has been in the world.
I am sure that there is no one who has been there.
"
There is a wug. There are two 	5	entmax	There is a wug. There are two idly piles, and one of the boys who have a very pretty, hard, black-hearted old lady, who was, with the best and good, and a good-hearted boy, and he had the best to give up the poor fellow
There is a wug. There are two 	6	default	"There is a wug. There are two thile winds -- a half pond in the spring -- and they are the more romantic creaked.
They practice their trousers.
 chin!
All wrappedbuds in Eden.
Surely we don't have a bit of it at"
There is a wug. There are two 	6	greedy	"There is a wug. There are two icy, and there is no one to be seen.
It is a very different thing.
I am sure I am going to get a good meal.
I am going to get a good dinner.
I am going to get a good"
There is a wug. There are two 	6	entmax	"There is a wug. There are two idly young men, '' said the old man.
`` They do not want to know what the king is doing, but if you are a young man you must go and fetch a hundred dollars and be careful.
If you like, I '"
There is a wug. There are two 	7	default	There is a wug. There are two 58 inse calm speed in two nights that the schooner had re cease Latin committed me to join in proprivingms, on lamenting examisions and action or summers kills, as the prudence and the
There is a wug. There are two 	7	greedy	"There is a wug. There are two identical things in the world, and I'm going to be married in the world.
I'm going to be married to the minister, and I'm going to be married.
I'm going to be married to the"
There is a wug. There are two 	7	entmax	"There is a wug. There are two identous creatures. ''
`` What is this, '' said Anne.
`` She's been going to have the little girls in Avonlea, and she's got to be married, but I suppose she is a real good child.
"
There is a wug. There are two 	8	default	"There is a wug. There are two zealty in the world, not even when they grow wide of sea.
So far as I go, and at peace, the pot is a cup of dry water : if, too, it dowls a submissue-"
There is a wug. There are two 	8	greedy	"There is a wug. There are two icy trees, and there are two little trees in the middle of the middle of the middle of the pond, and there are two little bushes, and the little bushes and the little bushes and the little bushes and the little bushes.
They are very"
There is a wug. There are two 	8	entmax	"There is a wug. There are two icy young women in the Glen St. Mary, '' said Rilla.
`` And now I feel as if I were not here.
And I do not believe in the least.
I don't know why, Mrs. Dr. dear"
There is a wug. There are two 	9	default	"There is a wug. There are two 420, Methodists, so we must rest.
Don't be shut up and take some time and Mary Fred Srenner married anthony. ''
When brown he was very thin and pale and thin and red as he entered Mowgli"
There is a wug. There are two 	9	greedy	"There is a wug. There are two icy, and there is a great many other things to do.
I'm going to give you a good deal of money.
I'm going to have a good deal of money.
I'm going to have a good time"
There is a wug. There are two 	9	entmax	"There is a wug. There are two identous young gentlemen who have a family with the old one and one who have a son. ''
`` Well, I suppose they will be, '' said Miss Cornelia, who was the most remarkable man in Avonlea, with a smile and smile,"
There is a wug. There are two 	10	default	"There is a wug. There are two icy water.
No doubt silly Wiley knows in one and so -- it was the Judgment Day to be thought twice -- as on upright verses in all its perperiding examination.
He says there are many things in the cross"
There is a wug. There are two 	10	greedy	There is a wug. There are two icy, and the most beautiful, and the most beautiful, and the most beautiful, and the most beautiful, and the most beautiful, and the most beautiful, and the most beautiful, and the most beautiful, and the most beautiful, and the most
There is a wug. There are two 	10	entmax	"There is a wug. There are two zealians.
I don't see how many people can do without their being killed, and they are so big that I am not able to help them, and I will do my best. '
The prince, who had been so"
There is a wug. There are two 	11	default	There is a wug. There are two icy roast, and fifty presents for all you could find, and the whole shipchet you must go into the cave where you find a shoal, and if you could do first you will beg him to give his misfortune to money, man,
There is a wug. There are two 	11	greedy	"There is a wug. There are two icy, and there are two of them, and one is the most beautiful one.
They are the most beautiful, and the most beautiful, and the most beautiful, and the most beautiful, and the most beautiful, and the most beautiful, and"
There is a wug. There are two 	11	entmax	"There is a wug. There are two 4995, two or four in the north.
We were all alone in the valley.
The wind blew up the sand-hung hillward and we saw a white, green-curbed man coming up the slope and"
There is a wug. There are two 	12	default	"There is a wug. There are two iiement on the edge of the brook, carefully wearing their beds up to them, which they stitted with horses, both rattling and decked like cheese.
Strong the forward, they ask that for a recoming period."
There is a wug. There are two 	12	greedy	"There is a wug. There are two identical things in the world, and I am going to give you a good deal of it.
I'm going to have a good time and be a good deal to be a good girl.
I'm going to be a good"
There is a wug. There are two 	12	entmax	"There is a wug. There are two zealians.
They have been all their days and they were so happy. ''
`` I wish I could get them for a long time, '' said Rilla, with a little sigh.
`` They are the same as they live in"
There is a wug. There are two 	13	default	"There is a wug. There are two 424.
How delighted they are! '
He was angry, and as she thought it was past he said, ` Mirror, little dwarf, do you mean that these two are only twelve?
By all means this happen to"
There is a wug. There are two 	13	greedy	"There is a wug. There are two icy things in the world, and I'm going to give you a chance to get it.
I'm going to have a good time.
I'm going to have a good time.
I 'll have to go to"
There is a wug. There are two 	13	entmax	"There is a wug. There are two zealians. ''
`` I've seen them go down on the rocks and I don't believe they ever were in a boat. ''
`` But they don't -- they're not, '' said Una, `` because"
There is a wug. There are two 	14	default	"There is a wug. There are two icicicles in our middle of Lavuay.
They are very nice, too, but we must be surprised because some more the boats rise out from the harbor.
I would have thinking, ` Peter, doctor dear, for"
There is a wug. There are two 	14	greedy	"There is a wug. There are two icy things in the world, and I'm going to give you a good look at you.
I'm going to have a good time.
I'm going to have a good time.
I'm going to have a"
There is a wug. There are two 	14	entmax	"There is a wug. There are two és, '' said the Story Girl.
`` The worst of it is, the worst of it is to be true, and the most part of it is the same, '' said the Story Girl, as she went up the slope to"
There is a wug. There are two 	15	default	"There is a wug. There are two ys uncle and Peter Broads.
While we wait for it it they grow so good that it keeps this way to let us see it.
The hardest work we can do is to bring ashore it so quietly.
In summer, Uncle"
There is a wug. There are two 	15	greedy	"There is a wug. There are two icy things in the world, and I'm going to give you a good breakfast.
I'm going to have a good breakfast, and I 'll have a good time. ''
`` I 'll go and see what I can"
There is a wug. There are two 	15	entmax	"There is a wug. There are two 499.
The British Excellent of the British, and the British Law of England, who are in a hurry to make a great mistake of the Gods of all the Gods, and the people of the Right, and the Gods"
There is a wug. There are two 	16	default	There is a wug. There are two icy whale-woods, and there are two fish-poor ; but there is others who can hold cold out together, and Peter, the Fo perceived, and swallowed the blade from his finger and once more, and then a dair
There is a wug. There are two 	16	greedy	"There is a wug. There are two icy things that I can not understand.
I am not a man of the world, but I am not a man.
I am a man of the world, and I am a man.
I am a man, and I am a"
There is a wug. There are two 	16	entmax	"There is a wug. There are two & Co., and that is the most important part of it, I assure you, that the last three-thirty-year-old boy of the world has a good many friends, as the one in his family.
I will give"
There is a wug. There are two 	17	default	"There is a wug. There are two identical reference to His name, Amelia Amelia! ''
They wanted to finish the afternoon as they met her, but each had to, and they did not make up the pulling or flapping, which proved to be a rather very"
There is a wug. There are two 	17	greedy	"There is a wug. There are two identical things in the world, and I am sure that there is no such thing as a man in the world.
I am not a man, but I am not a man.
I am not a man, but I am not a"
There is a wug. There are two 	17	entmax	"There is a wug. There are two ias and six-and-twenty-five in it.
They are a very nice little girl, and so they have not got the name of a cat, you see. '
` How do you know about that? '"
There is a wug. There are two 	18	default	"There is a wug. There are two iq Moody-top. '
` Are there any in those days? '
said the Cat in a sensation of laughter.
` Oh yes!
here do they steal from their snow-grown Gods?
When good did"
There is a wug. There are two 	18	greedy	"There is a wug. There are two icy things in the world, and I'm going to give you a good look at you.
I'm going to have a good time.
I'm going to have a good time.
I'm going to have a"
There is a wug. There are two 	18	entmax	"There is a wug. There are two 4th, a few of them.
They've got to be buried here all day long. ''
`` Oh, I suppose I couldn't go to church with a doctor, '' said Anne.
`` It isn't likely"
There is a wug. There are two 	19	default	"There is a wug. There are two & Co. Sahib and there are huge mutile-legged quers-at-onium in which I always feel religious.
The custom told him -LRB- which is simply the way -RRB-, and there was just the very"
There is a wug. There are two 	19	greedy	"There is a wug. There are two icy things in the world, and I'm going to give you a good look at you.
I'm going to have a good time.
I'm going to have a good time.
I'm going to have a"
There is a wug. There are two 	19	entmax	There is a wug. There are two identicians, '' said Mrs. Blythe, who had been looking after the young ladies and the two young ladies of the town, `` and as for the best part of it, they are all a little better for the young ladies than the other
There is a wug. There are two 	20	default	"There is a wug. There are two icy animals in it.
We know their children are not really well to meet each other.
All sorts of mistakes I don't believe in tucked them moving in the tree.
Some of the once proceeded to do my fault.
Jerry"
There is a wug. There are two 	20	greedy	"There is a wug. There are two identical things in the world, and I am sure that there is no such thing as a man in the world.
It is a very different thing to be able to do.
I am not a very good man.
I am not"
There is a wug. There are two 	20	entmax	"There is a wug. There are two icy little boys in it, and the most interesting and most interesting little thing that ever was.
I shall get into the garden and have a little bed of flowers and a big, brown one with big red roses, and a little box of flowers"
